id;name;name_ar;description;mobile_no;email;online_report;email_report;percentage;doctor_type
1;program transition Steel;Cotton purple;Berkshire Bike;Niue Clothing;Elian_Smith@yahoo.com;false;false;72487;GROSSING
2;Accountability Liaison Computer;Handmade Switchable;monetize brand orchid;enable Hampshire;Sigurd_Pacocha@gmail.com;false;false;29146;GROSSING
3;payment Barbados;hack purple;heuristic;Avon cross-media Fresh;Oswaldo11@yahoo.com;true;true;33947;PATHOLOGIST
4;purple Dollar;green Metal Steel;Distributed Intelligent withdrawal;haptic;Ethan_Jacobi@yahoo.com;true;true;10731;PATHOLOGIST
5;Account;Dynamic;revolutionize International Greece;Islands;Dayana.Strosin50@gmail.com;false;true;67186;PATHOLOGIST
6;Mariana 6th;evolve;Integration Applications Division;challenge;Jeffry.Powlowski6@hotmail.com;false;true;39104;GROSSING
7;withdrawal;Metal Suriname;Beauty optimal Human;Card Legacy;Eusebio_DuBuque@hotmail.com;true;false;70257;GROSSING
8;Account Rubber;California synthesize;AGP Concrete Reduced;lavender;Alejandra7@gmail.com;true;true;73140;REFERRING
9;Missouri;Sausages withdrawal;orchid Internal Chair;Ferry back-end Sausages;Flossie_Heidenreich@gmail.com;false;true;54287;GROSSING
10;Glens generate;Architect Associate system;generate Orchestrator;JBOD Palestinian Incredible;Sebastian.VonRueden83@hotmail.com;false;true;36379;REFERRING
